
Lfd.Nr.;Gewinn Losnummer;Sponsor Anrede;Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail; Bar Spende ? ;reine Sachspende;Gewinn;Wert Spende ?;akquisiert durch wen;Lagerort Gewinn;Erfasst von:;Gewinner Anrede;Gewinner Name;Gewinner Strasse;Gewinner PLZ und Ort;ausgeliefert am;ausgeh?ndigt von;Sponsorenquittung 
1;3230;Althoff;Grandhotel Schloss Bensberg;Kadettenstrasse;51429 Bergisch Gladach;info@schlossbensberg.com;;;Gutschein Day Spa;79,00;Manuela Rex-Eberle;wird pers?nlich ?bergeben ;Manuela;;;;;;;
2;6730;Frau;Susanne Herbers Herzensgl?ck;Schlo?str. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im Gesch?ft;Clementine;;;;;;;
3;9456;Frau;Susanne Herbers Herzensgl?ck;Schlo?str. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im Gesch?ft;Clementine;;;;;;;
4;3649;Frau ;Susanne Herbers Herzensgl?ck;Schlo?str. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im Gesch?ft;Clementine;;;;;;;
5;3001;Frau ;Susanne Herbers Herzensgl?ck;Schlo?str. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im Gesch?ft;Clementine;;;;;;;
6;5038;Frau ;Susanne Herbers Herzensgl?ck;Schlo?str. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im Gesch?ft;Clementine;;;;;;;
7;1067;Kr?cher;Konzept K?rper;G. Reusch-Str.12;51503 R?srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
8;2280;Kr?cher;Konzept K?rper;G. Reusch-Str.12;51503 R?srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
9;2477;Kr?cher;Konzept K?rper;G. Reusch-Str.12;51503 R?srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
10;5643;Kr?cher;Konzept K?rper;G. Reusch-Str.12;51503 R?srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
11;6082;Kr?cher;Konzept K?rper;G. Reusch-Str.12;51503 R?srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;im Gesch?ft;Andrea;;;;;;;
12;4614;Mediterana GmbH;Mediterana GmbH;Saaler M?hle 1;51429 Bergisch Gladach;02204-22042020;;;Tagesgutschein Wellness;52,00;Elisabeth Schwar;wird per Post geschickt;Andrea/ liegt bei Anna;;;;;;;
13;4747;Mediterana GmbH;Mediterana GmbH;Saaler M?hle 1;51429 Bergisch Gladach;02204-22042020;;;Tagesgutschein Wellness;52,00;Elisabeth Schwar;wird per Post geschickt;Andrea/ liegt bei Anna;;;;;;;
14;4383;Nina R?ter;Am Alten Fronhof;Im Fronhof 21;51429 Bergisch Gladbach;0049 1635551501;;;Gutsch. Reibekuchenessen;40,00;Svenja Schauten;???;Martina;;;;;;;
15;2703;Mario Winkler;Obst & Gem?se Winkler;Sandb?chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;liegt am Marktstand Bensberg;Martina;;;;;;;
16;6468;Mario Winkler;Obst & Gem?se Winkler;Sandb?chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;liegt am Marktstand Bensberg;Martina;;;;;;;
17;2420;Mario Winkler;Obst & Gem?se Winkler;Sandb?chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;liwgt am Marktstand Bensberg;Martina;;;;;;;
18;3876;Mario Winkler;Obst & Gem?se Winkler;Sandb?chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;liegt am Marktstand Bensberg;Martina;;;;;;;
19;7726;Herr Zeuge;Bensberger Weinl?dchen;Schlo?str. 31A;51429 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
20;7345;Herr Zeuge;Bensberger Weinl?dchen;Schlo?str. 31A;51430 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
21;5790;Herr Zeuge;Bensberger Weinl?dchen;Schlo?str. 31A;51431 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
22;1072;Herr Zeuge;Bensberger Weinl?dchen;Schlo?str. 31A;51432 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im Gesch?ft;Martina;;;;;;;
23;9642;Stefan B?scher;Mobau B?scher;Johann- B?scher Str.1-3;51491 Overath;;;;Pr?sent;;Elisabeth Schwar;im Gesch?ft;Martina;;;;;;;
24;8034;KSK K?ln BST 750;KSK K?ln BST 750;Neumarkt 18-24;50667 K?ln;;;;Gutschein Rheinberg Galerie;25,00;Susanne Bittner;;Martina;;;;;;;
25;67;KSK K?ln BST 750;KSK K?ln BST 750;Neumarkt 18-25;50668 K?ln;;;;Gutschein Rheinberg Galerie;25,00;Susanne Bittner;;Martina;;;;;;;
26;5275;KSK K?ln BST 750;KSK K?ln BST 750;Neumarkt 18-26;50669 K?ln;;;;Gutschein Rheinberg Galerie;25,00;Susanne Bittner;;Martina;;;;;;;
27;3588;KSK K?ln BST 750;KSK K?ln BST 750;Neumarkt 18-27;50670 K?ln;;;;Gutschein Rheinberg Galerie;25,00;Susanne Bittner;;Martina;;;;;;;
28;5388;KSK K?ln BST 750;KSK K?ln BST 750;Neumarkt 18-28;50671 K?ln;;;;Gutschein Rheinberg Galerie;25,00;Susanne Bittner;;Martina;;;;;;;
29;7840;KSK K?ln BST 750;KSK K?ln BST 750;Neumarkt 18-29;50672 K?ln;;;;Gutschein Rheinberg Galerie;25,00;Susanne Bittner;;Martina;;;;;;;
