Lfd.Nr.;Gewinn;"Sponsor Anrede";Sponsor Name;Sponsor Strasse;Sponsor PLZ und Ort;e-mail;" Bar Spende â‚¬ ";reine Sachspende;Gewinn;"Wert Spende â‚¬";"akquisiert durch wen";Lagerort Gewinn;Erfasst von:
1;502;Althoff;Grandhotel Schloss Bensberg;Kadettenstrasse;51429 Bergisch Gladach;info@schlossbensberg.com;;;Gutschein Day Spa;79,00;Manuela Rex-Eberle;wird persÃ¶nlich Ã¼bergeben ;Manuela Rex-Eberle
2;751;Frau;Susanne Herbers Herzensglueck  Bensberg;SchloÃŸstr. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im GeschÃ¤ft;Clementine
3;2775;Frau;Susanne Herbers Herzensglueck  Bensberg;SchloÃŸstr. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im GeschÃ¤ft;Clementine
4;1275;Frau ;Susanne Herbers Herzensglueck  Bensberg;SchloÃŸstr. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im GeschÃ¤ft;Clementine
5;3439;Frau ;Susanne Herbers Herzensglueck  Bensberg;SchloÃŸstr. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im GeschÃ¤ft;Clementine
6;2553;Frau ;Susanne Herbers Herzensglueck  Bensberg;SchloÃŸstr. 13;51429 Bergisch Gladach;02204-9795494;;;Gutschein;20,00;Brigitte Hoffmann;im GeschÃ¤ft;Clementine
7;849;Gerhard KrÃ¶cher;Konzept Koerper  Roesrath;G. Reusch-Str.12;51503 RÃ¶srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;in der Praxis;Andrea
8;406;Gerhard KrÃ¶cher;Konzept Koerper  Roesrath;G. Reusch-Str.12;51503 RÃ¶srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;in der Praxis;Andrea
9;1677;Gerhard KrÃ¶cher;Konzept Koerper  Roesrath;G. Reusch-Str.12;51503 RÃ¶srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;in der Praxis;Andrea
10;2352;Gerhard KrÃ¶cher;Konzept Koerper  Roesrath;G. Reusch-Str.12;51503 RÃ¶srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;in der Praxis;Andrea
11;1601;Gerhard KrÃ¶cher;Konzept Koerper  Roesrath;G. Reusch-Str.12;51503 RÃ¶srath;info@konzept-koerper.de;;;Gutschein Massage;29,00;Andrea Siebert;in der Praxis;Andrea
12;474;Mediterana GmbH;Mediterana GmbH Bergisch Gladbach;Saaler MÃ¼hle 1;51429 Bergisch Gladach;02204-22042020;;;Tagesgutschein Wellness;52,00;Elisabeth Schwar;wird verschickt;Andrea
13;3496;Mediterana GmbH;Mediterana GmbH Bergisch Gladbach;Saaler MÃ¼hle 1;51429 Bergisch Gladach;02204-22042020;;;Tagesgutschein Wellness;52,00;Elisabeth Schwar;wird verschickt;Andrea
14;1970;Nina RÃ¼ter;Am Alten Fronhof Herkenrath;Im Fronhof 21;51429 Bergisch Gladbach;0049 1635551501;;;Gutsch. Reibekuchenessen;40,00;Svenja Schauten;im Restaurant;Martina
15;617;Mario Winkler;Obst & Gemuese Winkler Wochenmarkt;SandbÃ¼chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;Marktstand Bensberg;Martina
16;3115;Mario Winkler;Obst & Gemuese Winkler Wochenmarkt;SandbÃ¼chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;Marktstand Bensberg;Martina
17;1651;Mario Winkler;Obst & Gemuese Winkler Wochenmarkt;SandbÃ¼chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;Marktstand Bensberg;Martina
18;139;Mario Winkler;Obst & Gemuese Winkler Wochenmarkt;SandbÃ¼chel 33;51427 Bergisch Gladbach;obstmariowinkler@aol.com;;;Gutschein;10,00;Martina Uedelhoven;Marktstand Bensberg;Martina
19;49;Herr Zeuge;Bensberger Weinlaedchen;SchloÃŸstr. 31A;51429 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
20;2236;Herr Zeuge;Bensberger Weinlaedchen;SchloÃŸstr. 31A;51430 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
21;3757;Herr Zeuge;Bensberger Weinlaedchen;SchloÃŸstr. 31A;51431 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
22;3779;Herr Zeuge;Bensberger Weinlaedchen;SchloÃŸstr. 31A;51432 Bergisch Gladbach;;;;Gutschein;15,00;Martina Uedelhoven;im GeschÃ¤ft;Martina
23;2753;Stefan BÃ¼scher;Mobau Buescher  Overath;Johann- BÃ¼scher Str.1-3;51491 Overath;;;;Praesent;Ueberraschung;Elisabeth Schwar;im GeschÃ¤ft;Martina
